relative_path,file_type,experiment,model,section_candidate,paper_usability,bytes
models/mnasnet_lstm/model.keras,.keras,legacy/other,mnasnet_lstm,Supplement/reproducibility,SUPPORTING,14082109
models/mnasnet_lstm/threshold.json,.json,legacy/other,mnasnet_lstm,Supplement/reproducibility,YES,66
models/model_metadata.json,.json,legacy/other,shared,Provenance/protocol,YES,1766
models/rawnet2_pretrained/metadata.json,.json,legacy/other,rawnet2,Provenance/protocol,YES,614
models/rawnet2_pretrained/model.onnx,.onnx,legacy/other,rawnet2,Supplement/reproducibility,SUPPORTING,70941002
models/rawnet2_pretrained/model.pt,.pt,legacy/other,rawnet2,Supplement/reproducibility,SUPPORTING,70515422
models/rawnet2_pretrained/threshold.json,.json,legacy/other,rawnet2,Supplement/reproducibility,YES,63
outputs/benchmark/current_baseline.json,.json,legacy/other,shared,Supplement/reproducibility,YES,3372
outputs/benchmark/efficiency/mobilenetv3_lstm/summary.json,.json,legacy/other,mobilenetv3_lstm,Efficiency,YES,1716
outputs/benchmark/figures/confusion_matrix.png,.png,legacy/other,shared,Supplement/reproducibility,YES,36492
outputs/benchmark/figures/efficiency_baseline.png,.png,legacy/other,shared,Efficiency,YES,67170
outputs/benchmark/figures/lava_framework.png,.png,legacy/other,shared,Supplement/reproducibility,YES,124533
outputs/benchmark/last_clean_run.json,.json,legacy/other,shared,Clean results,YES,2163
outputs/benchmark/last_efficiency_run.json,.json,legacy/other,shared,Efficiency,YES,1992
outputs/benchmark/results.csv,.csv,legacy/other,shared,Supplement/reproducibility,YES,116
outputs/checkpoints/efficientnet_b0_lstm/lifecycle_state.json,.json,legacy/other,efficientnet_b0_lstm,Supplement/reproducibility,YES,695
outputs/checkpoints/mnasnet_lstm/lifecycle_state.json,.json,legacy/other,mnasnet_lstm,Supplement/reproducibility,YES,643
outputs/checkpoints/shufflenetv2_lstm/lifecycle_state.json,.json,legacy/other,shufflenetv2_lstm,Supplement/reproducibility,YES,697
outputs/efficientnet_conversion/calibration_report.json,.json,deployment/conversion,shared,Supplement/reproducibility,YES,187
outputs/efficientnet_conversion/conversion_report.json,.json,deployment/conversion,shared,Supplement/reproducibility,YES,984
outputs/efficientnet_conversion/converted.keras,.keras,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,19886234
outputs/efficientnet_conversion/keras3/__pycache__/typing_extensions.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,179472
outputs/efficientnet_conversion/keras3/keras/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,2951
outputs/efficientnet_conversion/keras3/keras/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,3624
outputs/efficientnet_conversion/keras3/keras/_tf_keras/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,34
outputs/efficientnet_conversion/keras3/keras/_tf_keras/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,264
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,2955
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,3570
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/activations/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,2413
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/activations/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,2043
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,4210
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,3918
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/convnext/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,670
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/convnext/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,792
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/densenet/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,510
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/densenet/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,683
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/efficientnet/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,962
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/efficientnet/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,978
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/efficientnet_v2/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,993
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/efficientnet_v2/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,1023
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/imagenet_utils/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,318
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/imagenet_utils/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,555
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/inception_resnet_v2/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,431
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/inception_resnet_v2/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,633
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/inception_v3/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,389
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/inception_v3/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,604
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/mobilenet/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,376
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/mobilenet/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,596
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/mobilenet_v2/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,389
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/mobilenet_v2/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,604
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/mobilenet_v3/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,314
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/mobilenet_v3/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,551
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/nasnet/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,433
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/nasnet/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,630
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/resnet/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,486
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/resnet/__pycache__/__init__.cpython-311.pyc,.pyc,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,671
outputs/efficientnet_conversion/keras3/keras/_tf_keras/keras/applications/resnet50/__init__.py,.py,deployment/conversion,shared,Supplement/reproducibility,SUPPORTING,356
