Model,Params,SizeMiB,MemoryMiB,PreprocessMs,ModelOnlyMs,EndToEndMs,P95Ms,Throughput,RTF,LoadSeconds
mobilenetv3_lstm,1308401,5.642603874206543,554.55078125,13.426819999767758,30.072217999986606,43.80635200002871,52.121404999707,22.827739684859964,0.014602117333342903,4.50281189999987
efficientnet_b0_lstm,4779300,18.964990615844727,651.23046875,13.589773999919998,168.36027799996373,175.84591400001955,196.1105900003531,5.686796907887714,0.05861530466667318,8.034315299999435
mnasnet_lstm,3369255,13.4297456741333,566.03515625,13.60460799998691,95.2478640001209,117.00035999980173,138.96254500023133,8.546982248616112,0.03900011999993391,5.601154800000586
rawnet2,17621410,67.65461158752441,249.50390625,0.6329500000356347,95.10229200015601,96.54346800012718,102.61614999981248,10.358028572152419,0.023911694860712616,0.1596265999996831
aasist,297866,1.6075077056884766,442.5390625,0.4732859998330241,359.60501800011116,362.906175999924,398.45344500035935,2.755533154663671,0.08988388260060039,0.5709729999998672
shufflenetv2_lstm,1868441,7.738681793212891,501.82421875,15.571722000095178,48.04568800020206,62.52165199999581,75.36708500047098,15.99445900757816,0.02084055066666527,6.184378000001743
