Model,REAL_Precision,REAL_Recall,REAL_F1,FAKE_Precision,FAKE_Recall,FAKE_F1
MobileNetV3,0.9784673844205193,0.9809523809523809,0.979708306911858,0.9740932642487047,0.9707401032702238,0.9724137931034482
EfficientNet-B0,0.9572225666460012,0.9803174603174604,0.9686323713927227,0.9724199288256228,0.9406196213425129,0.9562554680664916
MnasNet-A1,0.9769820971867008,0.9701587301587301,0.9735584581076776,0.9599317988064792,0.9690189328743546,0.9644539614561028
RawNet2,0.6015037593984962,0.35555555555555557,0.44692737430167595,0.437984496124031,0.6807228915662651,0.5330188679245284
AASIST,0.6263656227239621,0.546031746031746,0.5834464043419266,0.47580645161290325,0.5585197934595525,0.5138558986539985
ShuffleNetV2,0.9891581632653061,0.9847619047619047,0.9869551384027999,0.979469632164243,0.9853700516351118,0.9824109824109823
