Model,Accuracy,Precision_FAKE,Recall_FAKE,F1_FAKE,Macro_F1,ROC_AUC,EER
MobileNetV3,0.9766167336499817,0.9740932642487047,0.9707401032702238,0.9724137931034482,0.9760610500076531,0.9911466273256291,0.02495697074010328
EfficientNet-B0,0.9634636463280964,0.9724199288256228,0.9406196213425129,0.9562554680664916,0.9624439197296072,0.9877021009206896,0.04
MnasNet-A1,0.9696748264523201,0.9599317988064792,0.9690189328743546,0.9644539614561028,0.9690062097818902,0.9886282545146572,0.030981067125645412
RawNet2,0.4936061381074169,0.437984496124031,0.6807228915662651,0.5330188679245284,0.48997312111310215,0.5178370625358577,0.4812698412698413
AASIST,0.5513335769090245,0.47580645161290325,0.5585197934595525,0.5138558986539985,0.5486511514979626,0.5596636887686801,0.44634920634920633
ShuffleNetV2,0.9850200949945196,0.979469632164243,0.9853700516351118,0.9824109824109823,0.9846830604068911,0.9928828238122558,0.014629948364888179
