Model,NoiseDeg,CompressionDeg,ReplayDeg,MeanRobustnessDeg
mobilenetv3_lstm,0.6722307966688882,0.00948509485094845,0.06202950918398076,0.3098770083625919
efficientnet_b0_lstm,0.8053150553150554,0.0,0.06408655846858102,0.3650385310809781
mnasnet_lstm,0.6118780485147206,0.023314203730272626,0.1489430894308943,0.2988568998234297
rawnet2,0.5077044025157232,-0.0007065660086259251,-0.010885341074020283,0.22412288943937433
aasist,-0.06602188854943487,-0.007352097465492258,-0.06823332935703208,-0.040192141490748956
shufflenetv2_lstm,0.3555103203118507,0.0031616982836494834,0.025609756097560887,0.16225531449772904
