Model,Scope,Iterations,F1_lower,F1_upper,AUC_lower,AUC_upper,EER_lower,EER_upper
MobileNetV3,full canonical test; stratified percentile bootstrap; seed 42,1000,0.9653672151072497,0.9787979734446862,0.9871069174657815,0.9946712701144715,0.017777777777777778,0.03111111111111111
EfficientNet-B0,full canonical test; stratified percentile bootstrap; seed 42,1000,0.9476900044033465,0.9651264167393199,0.9833451902849494,0.9917050788186761,0.03111111111111111,0.048192771084337394
MnasNet-A1,full canonical test; stratified percentile bootstrap; seed 42,1000,0.9573360607916921,0.9716981132075472,0.9842127284648798,0.9922927082479578,0.02495697074010328,0.03786574870912218
ShuffleNetV2,full canonical test; stratified percentile bootstrap; seed 42,1000,0.9768230379475901,0.9875483039931302,0.9893973171597955,0.9959581523372403,0.0103270223752151,0.02065404475043031
RawNet2,full canonical test; stratified percentile bootstrap; seed 42,1000,0.5149556707929074,0.5488757098803684,0.49436739474906427,0.5394741004835669,0.4615873015873016,0.5015873015873016
AASIST,full canonical test; stratified percentile bootstrap; seed 42,1000,0.4927974101855507,0.5348544942750111,0.5377438939431194,0.581496011255908,0.4279308663224326,0.466031746031746
